t=2026-08-24T11:52:33+0100 lvl=info msg="no configuration paths supplied"
t=2026-08-24T11:52:33+0100 lvl=info msg="using configuration at default config path" path=C:\Users\HomePC\AppData\Local\ngrok\ngrok.yml
t=2026-08-24T11:52:33+0100 lvl=info msg="open config file" path=C:\Users\HomePC\AppData\Local\ngrok\ngrok.yml err=<nil>
t=2026-08-24T11:52:33+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-24T11:52:33+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-08-24T11:52:35+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-24T11:52:35+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-24T11:52:36+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8080 url=https://hamster-probiotic-compile.ngrok-free.dev
t=2026-08-24T11:53:23+0100 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=5941f9f5f465 err="read tcp 172.22.87.161:58040->3.125.234.140:443: wsarecv: An established connection was aborted by the software in your host machine."
t=2026-08-24T11:53:24+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-24T11:53:24+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-24T11:53:40+0100 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=2e9a3e95af17 clientid=e52e49eac5d241239f3c3dcb2cb86680
t=2026-08-24T11:57:41+0100 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=5941f9f5f465 err="read tcp 192.168.50.133:59979->3.122.29.226:443: wsarecv: An established connection was aborted by the software in your host machine."
t=2026-08-24T11:57:44+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-24T11:57:44+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-24T11:57:59+0100 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session id=7932a168f0cc clientid=e52e49eac5d241239f3c3dcb2cb86680 obj=csess
t=2026-08-24T12:02:18+0100 lvl=info msg="join connections" obj=join id=25f655ae08f9 l=[::1]:8080 r=102.216.200.114:53088
t=2026-08-24T12:08:09+0100 lvl=info msg="join connections" obj=join id=2474fc30562f l=[::1]:8080 r=102.216.200.114:39166
t=2026-08-24T12:08:14+0100 lvl=info msg="join connections" obj=join id=b9b4dfe0bd36 l=[::1]:8080 r=102.216.200.114:39166
